UPM;NVIVI;NHOGA;AÑO;DPTO;AREA;HOMBRES;MUJERES;TOTAL;V01;V02A;V02B;V03;V04;V05;V06;V07;V07A;V08;V09;V10;V11A;V11B;V12;V13;V14A;V14B;V15;V16;V17;V18;V19;V20;V21;V21G;V23A1;V23A2;V23B;V23C1;V23C2;V2401;V2402;V2403;V2404;V2404A;V2404B;V2405;V2406;V2407;V2408;V2409;V2410;V2411;V2412;V2413;V2414;THOGAV;FACTOR;POBREZAI;POBNOPOI
59;3;1;2025;0;1;1;2;3;1;4;3;4;5;1;1;6;2;11;7;1;6;1;1;1;1;2;2;1;1; ;1500000; ;6; ;1;1;1;1;6;6;1;1;1;1;1;1;6;6;1;6;1;6;1;1;6;4;81;3;0
59;4;1;2025;0;1;1;1;2;1;3;2;4;5;1;1;1;2;11;7;1;6;1;1;2;1;4;2;1;1; ;99999999999;99999999999;1;1500000;1;1;1;1;6;1;1;1;1;1;6;1;1;1;1;6;1;1;1;1;6;2;53;3;0
59;9;1;2025;0;1;3;0;3;3;1;1;4;4;1;1;1;2;11;7;1;6;1;1;1;1;4;2;1;1; ;500000; ;6; ;6;6;1;1;6;1;1;1;6;1;6;6;6;6;1;6;1;6;6;6;1;3;73;3;0
59;10;1;2025;0;1;3;4;7;1;3;3;4;5;10;1;1;2;1;2;1;6;1;1;1;1;4;2;1;1; ;99999999999;99999999999;1;99999999999;6;6;1;1;6;1;1;1;1;1;6;1;6;6;1;6;1;1;1;1;1;4;76;3;0
59;32;1;2025;0;1;0;3;3;1;3;2;4;5;1;1;1;2;11;7;1;6;1;1;1;1;2;2;4; ;1000000; ; ;6; ;6;6;1;1;6;6;1;1;1;6;6;1;6;6;1;6;1;6;1;6;6;4;67;3;0
59;33;1;2025;0;1;0;2;2;3;2;1;4;4;6;1;1;2;11;7;1;6;1;1;2;1;2;2;4; ;1000000; ; ;6; ;6;6;1;1;6;1;1;1;1;1;6;1;6;6;1;6;6;6;1;6;6;3;63;3;0
59;36;1;2025;0;1;1;1;2;3;1;1;4;5;6;1;1;2;1;2;1;6;1;1;1;6;3;2;4; ;550000; ; ;6; ;6;6;6; ; ;6;1;6;6;1;6;6;6;6;6;6;6;6;6;6;6;3;84;3;0
59;39;1;2025;0;1;0;1;1;3;1;1;4;5;6;1;1;2;11;7;1;6;1;1;1;1;4;2;4; ;750000; ; ;6; ;6;6;1;6;1;1;6;6;6;1;6;6;6;6;6;6;6;6;6;6;6;1;61;3;0
59;41;1;2025;0;1;2;3;5;3;2;1;4;5;6;1;1;2;11;7;1;6;1;1;1;1;2;2;4; ;1000000; ; ;6; ;1;1;1;1;6;1;1;1;1;1;6;1;6;1;1;6;1;1;1;6;6;3;70;3;0
59;46;1;2025;0;1;4;1;5;3;2;1;4;5;6;1;1;2;11;7;1;6;1;1;1;1;2;2;4; ;800000; ; ;6; ;6;6;1;1;6;6;1;1;1;6;6;1;6;6;6;6;1;6;1;6;1;4;96;3;0
